"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"5","0.184067600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=2608, FN=0, Flags=.p....F."
"7","0.189660100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","29dBm","","","QoS Data, SN=2609, FN=0, Flags=.p....F."
"10","0.706511800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","29dBm","","","QoS Data, SN=2610, FN=0, Flags=.p....F."
"12","4.519109400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=2611, FN=0, Flags=.p....F."
"14","5.417661800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","29dBm","","","QoS Data, SN=2612, FN=0, Flags=.p..R.F."
"17","5.826565600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","30dBm","","","QoS Data, SN=2613, FN=0, Flags=.p....F."
"18","8.695129100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","30dBm","","","QoS Data, SN=2614, FN=0, Flags=.p....F."
"24","10.076720100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","33dBm","","","QoS Data, SN=2615, FN=0, Flags=.p....F."
"25","10.166305700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2616, FN=0, Flags=.p....F."
"26","10.188145000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2617, FN=0, Flags=.p..R.F."
"30","10.509085400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","30dBm","","","QoS Data, SN=2618, FN=0, Flags=.p....F."
"33","10.653513500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2619, FN=0, Flags=.p..R.F."
"34","10.702738000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2620, FN=0, Flags=.p....F."
"35","11.254362800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2621, FN=0, Flags=.p..R.F."
"38","11.765400000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2622, FN=0, Flags=.p....F."
"39","11.971033200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=2623, FN=0, Flags=.p....F."
