"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.731684600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","226","37dBm","","","QoS Data, SN=1073, FN=0, Flags=.p....F."
"6","9.640266700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","34dBm","","","QoS Data, SN=1074, FN=0, Flags=.p....F."
"9","10.562028400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","390","34dBm","","","QoS Data, SN=1075, FN=0, Flags=.p....F."
"13","17.013177600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=1076, FN=0, Flags=.p....F."
"14","17.014438900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","40dBm","","","QoS Data, SN=1077, FN=0, Flags=.p....F."
"15","17.014438900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","233","40dBm","","","QoS Data, SN=1078, FN=0, Flags=.p....F."
"17","17.627300000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","39dBm","","","QoS Data, SN=1079, FN=0, Flags=.p....F."
"20","19.163463600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","39dBm","","","QoS Data, SN=1080, FN=0, Flags=.p....F."
"21","19.165956600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","42dBm","","","QoS Data, SN=1081, FN=0, Flags=.p....F."
"24","20.801965100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","38dBm","","","QoS Data, SN=1082, FN=0, Flags=.p....F."
"27","22.440382800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","39dBm","","","QoS Data, SN=1083, FN=0, Flags=.p....F."
"29","23.361992000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","198","39dBm","","","QoS Data, SN=1084, FN=0, Flags=.p....F."
"36","25.060836100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","38dBm","","","QoS Data, SN=1085, FN=0, Flags=.p..R.F."
"41","25.125572400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","33dBm","","","QoS Data, SN=1086, FN=0, Flags=.p..R.F."
"42","25.170403700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","34dBm","","","QoS Data, SN=1087, FN=0, Flags=.p....F."
"43","25.170403700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","34dBm","","","QoS Data, SN=1088, FN=0, Flags=.p....F."
"44","25.206850400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","390","37dBm","","","QoS Data, SN=1089, FN=0, Flags=.p..R.F."
"45","25.235769200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=1090, FN=0, Flags=.p..R.F."
"48","25.241012500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=1091, FN=0, Flags=.p....F."
"49","25.271178900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","38dBm","","","QoS Data, SN=1092, FN=0, Flags=.p..R.F."
"50","25.512389500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","478","36dBm","","","QoS Data, SN=1093, FN=0, Flags=.p....F."
"56","25.614360700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","35dBm","","","QoS Data, SN=1094, FN=0, Flags=.p....F."
"60","25.704527300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","292","40dBm","","","QoS Data, SN=1095, FN=0, Flags=.p..R.F."
"64","25.787778100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1096, FN=0, Flags=.p....F."
"65","25.834224300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","37dBm","","","QoS Data, SN=1097, FN=0, Flags=.p..R.F."
"67","25.875885900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","226","37dBm","","","QoS Data, SN=1098, FN=0, Flags=.p....F."
"68","25.905445600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","571","38dBm","","","QoS Data, SN=1099, FN=0, Flags=.p....F."
"75","25.936969100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","390","37dBm","","","QoS Data, SN=1100, FN=0, Flags=.p....F."
"76","26.030472700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","36dBm","","","QoS Data, SN=1101, FN=0, Flags=.p....F."
"79","26.038682500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","36dBm","","","QoS Data, SN=1102, FN=0, Flags=.p....F."
"80","26.047674500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=1103, FN=0, Flags=.p....F."
"82","26.075719200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=1104, FN=0, Flags=.p....F."
"85","26.163218700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","37dBm","","","QoS Data, SN=1105, FN=0, Flags=.p....F."
"86","26.205705800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1106, FN=0, Flags=.p....F."
"88","26.235912500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","37dBm","","","QoS Data, SN=1107, FN=0, Flags=.p....F."
"89","26.250064700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1108, FN=0, Flags=.p....F."
"90","26.259965100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","37dBm","","","QoS Data, SN=1109, FN=0, Flags=.p....F."
"91","26.259965100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","37dBm","","","QoS Data, SN=1110, FN=0, Flags=.p....F."
"92","26.274848300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","37dBm","","","QoS Data, SN=1111, FN=0, Flags=.p....F."
"93","26.285945600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","757","37dBm","","","QoS Data, SN=1112, FN=0, Flags=.p....F."
"103","26.350075800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","38dBm","","","QoS Data, SN=1113, FN=0, Flags=.p....F."
"104","26.384083400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","38dBm","","","QoS Data, SN=1114, FN=0, Flags=.p....F."
"105","26.455613600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","41dBm","","","QoS Data, SN=1115, FN=0, Flags=.p..R.F."
"106","26.471846100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","39dBm","","","QoS Data, SN=1116, FN=0, Flags=.p....F."
"109","26.487923300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","41dBm","","","QoS Data, SN=1117, FN=0, Flags=.p..R.F."
