"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"136","65.945687300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2423, FN=0, Flags=.p..R.F."
"137","68.812529100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2424, FN=0, Flags=.p....F."
"140","69.938599200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2425, FN=0, Flags=.p....F."
"143","70.758234900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","36dBm","","","QoS Data, SN=2426, FN=0, Flags=.p....F."
"146","74.835596000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=2427, FN=0, Flags=.p....F."
"149","74.881313100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2428, FN=0, Flags=.p....F."
"150","75.673319000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","33dBm","","","QoS Data, SN=2429, FN=0, Flags=.p....F."
"151","78.130684600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","33dBm","","","QoS Data, SN=2430, FN=0, Flags=.p....F."
"154","78.354368100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","32dBm","","","QoS Data, SN=2431, FN=0, Flags=.p....F."
"156","79.973861200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2432, FN=0, Flags=.p....F."
"159","80.793597600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","32dBm","","","QoS Data, SN=2433, FN=0, Flags=.p....F."
