"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=943, FN=0, Flags=.p....F."
"5","1.500033800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","43dBm","","","QoS Data, SN=944, FN=0, Flags=.p....F."
"6","1.501117100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","43dBm","","","QoS Data, SN=945, FN=0, Flags=.p....F."
"9","7.186863800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","46dBm","","","QoS Data, SN=950, FN=0, Flags=.p....F."
"12","7.541610500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","45dBm","","","QoS Data, SN=951, FN=0, Flags=.p....F."
"15","8.157138500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","45dBm","","","QoS Data, SN=952, FN=0, Flags=.p....F."
"17","9.794475800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","43dBm","","","QoS Data, SN=953, FN=0, Flags=.p....F."
"22","15.222031800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","124","41dBm","","","QoS Data, SN=955, FN=0, Flags=.p....F."
"26","15.826547600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","43dBm","","","QoS Data, SN=956, FN=0, Flags=.p....F."
"28","17.576920700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","42dBm","","","QoS Data, SN=957, FN=0, Flags=.p....F."
"31","18.089189500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","43dBm","","","QoS Data, SN=958, FN=0, Flags=.p....F."
"33","18.805852000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","456","42dBm","","","QoS Data, SN=959, FN=0, Flags=.p....F."
"36","19.421950500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","341","45dBm","","","QoS Data, SN=960, FN=0, Flags=.p..R.F."
"38","20.035211600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","41dBm","","","QoS Data, SN=961, FN=0, Flags=.p....F."
"41","20.369459000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","42dBm","","","QoS Data, SN=962, FN=0, Flags=.p....F."
"44","21.365743100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=963, FN=0, Flags=.p....F."
"45","21.366866500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","41dBm","","","QoS Data, SN=964, FN=0, Flags=.p....F."
"46","21.366866500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","41dBm","","","QoS Data, SN=965, FN=0, Flags=.p....F."
"48","21.367098600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","41dBm","","","QoS Data, SN=966, FN=0, Flags=.p....F."
"52","27.509758600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","45dBm","","","QoS Data, SN=969, FN=0, Flags=.p....F."
