"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"6","1.145317900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=2853, FN=0, Flags=.p..R.F."
"7","1.207773800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","29dBm","","","QoS Data, SN=2854, FN=0, Flags=.p....F."
"10","1.758943800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","29dBm","","","QoS Data, SN=2855, FN=0, Flags=.p..R.F."
"13","5.158665700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2856, FN=0, Flags=.p....F."
"15","5.444648600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2857, FN=0, Flags=.p....F."
"16","5.446825700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2858, FN=0, Flags=.p..R.F."
"19","5.856288800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","39dBm","","","QoS Data, SN=2859, FN=0, Flags=.p..R.F."
"20","8.312612300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","34dBm","","","QoS Data, SN=2860, FN=0, Flags=.p....F."
"22","8.927015000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1532","33dBm","","","QoS Data, SN=2861, FN=0, Flags=.p....F."
"24","8.928069100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","33dBm","","","QoS Data, SN=2862, FN=0, Flags=.p....F."
"28","11.487086600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","27dBm","","","QoS Data, SN=2865, FN=0, Flags=.p....F."
"29","11.488394300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","28dBm","","","QoS Data, SN=2866, FN=0, Flags=.p....F."
"32","12.306263400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1532","32dBm","","","QoS Data, SN=2867, FN=0, Flags=.p....F."
"34","13.945646200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2868, FN=0, Flags=.p....F."
"37","15.787851100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2869, FN=0, Flags=.p....F."
"38","15.789791700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2870, FN=0, Flags=.p..R.F."
"42","16.446979700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","31dBm","","","QoS Data, SN=2871, FN=0, Flags=.p....F."
"43","16.527717600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","32dBm","","","QoS Data, SN=2872, FN=0, Flags=.p....F."
"46","17.016584600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2873, FN=0, Flags=.p....F."
"47","17.017729100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","32dBm","","","QoS Data, SN=2874, FN=0, Flags=.p....F."
"48","17.017729100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","32dBm","","","QoS Data, SN=2875, FN=0, Flags=.p....F."
"55","20.498301100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","32dBm","","","QoS Data, SN=2876, FN=0, Flags=.p....F."
"56","20.499337800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1532","32dBm","","","QoS Data, SN=2877, FN=0, Flags=.p....F."
"60","20.540307300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","32dBm","","","QoS Data, SN=2878, FN=0, Flags=.p....F."
"61","21.931923500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1532","32dBm","","","QoS Data, SN=2879, FN=0, Flags=.p....F."
"64","24.389359400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","31dBm","","","QoS Data, SN=2880, FN=0, Flags=.p....F."
"67","25.223150900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","33dBm","","","QoS Data, SN=2881, FN=0, Flags=.p....F."
"68","25.223150900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","33dBm","","","QoS Data, SN=2882, FN=0, Flags=.p....F."
"69","25.618274300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2883, FN=0, Flags=.p....F."
"72","26.233570600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","34dBm","","","QoS Data, SN=2884, FN=0, Flags=.p..R.F."
"75","28.347725300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","275","31dBm","","","QoS Data, SN=2885, FN=0, Flags=.p....F."
