distance(m),1,2,3,4,5,6,7,8,9,10
log distance,0,0.301029996,0.477121255,0.602059991,0.698970004,0.77815125,0.84509804,0.84509804,0.954242509,1
average RSS(dBm),48.78881988,52,43.02222222,37.54237288,39.20588235,36.43820225,32.17449664,32.74647887,31.76056338,28.6
standard deviation(dBm),1.261992165,1.171558372,1.593369532,1.412069963,1.961703822,3.309610854,2.5328425,2.334329576,1.908363463,2.176483092
,inner 1,inner 2,inner 3,inner 4,inner 5,inner 6,inner 7,inner 8,inner 9,inner 10
,Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm)
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,36,,,,,,
,,,,36,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,36,,,,,,
,,,,36,,,,,,
,,,,36,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,36,,,,,,
,,,,36,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,40,,,,,,
,,,,40,,,,,,
,,,,40,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,36,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,35,,,,,,
,,,,36,,,,,,
,,,,35,,,,,,
,,,,36,,,,,,
,,,,36,,,,,,
,,,,36,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,38,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,37,,,,,,
,,,,40,,,,,,
,,,,39,,,,,,
