"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","176","45dBm","","","QoS Data, SN=670, FN=0, Flags=.p....F."
"8","0.903007000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","49dBm","","","QoS Data, SN=671, FN=0, Flags=.p....F."
"9","0.903295700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","49dBm","","","QoS Data, SN=672, FN=0, Flags=.p....F."
"13","1.128665000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","49dBm","","","QoS Data, SN=673, FN=0, Flags=.p....F."
"15","1.385171800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","49dBm","","","QoS Data, SN=674, FN=0, Flags=.p....F."
"18","2.867058500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","52dBm","","","QoS Data, SN=675, FN=0, Flags=.p....F."
"20","3.788602100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","47dBm","","","QoS Data, SN=676, FN=0, Flags=.p....F."
"23","4.733868000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","245","49dBm","","","QoS Data, SN=677, FN=0, Flags=.p....F."
"25","5.119778100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","48dBm","","","QoS Data, SN=678, FN=0, Flags=.p....F."
"29","5.427128000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=679, FN=0, Flags=.p....F."
"30","5.428400000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=680, FN=0, Flags=.p....F."
"31","5.428400000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=681, FN=0, Flags=.p....F."
"33","5.428718100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=682, FN=0, Flags=.p....F."
"34","5.428718100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","607","49dBm","","","QoS Data, SN=683, FN=0, Flags=.p....F."
"37","5.734282500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","157","47dBm","","","QoS Data, SN=684, FN=0, Flags=.p....F."
"40","6.041528900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=685, FN=0, Flags=.p....F."
"41","6.042739200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","477","48dBm","","","QoS Data, SN=686, FN=0, Flags=.p..R.F."
"44","6.655783000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","49dBm","","","QoS Data, SN=687, FN=0, Flags=.p....F."
"47","6.962995500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=688, FN=0, Flags=.p....F."
"48","6.964235600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=689, FN=0, Flags=.p....F."
"49","6.964235600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=690, FN=0, Flags=.p....F."
"51","6.965178100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","49dBm","","","QoS Data, SN=691, FN=0, Flags=.p..R.F."
"52","6.965178100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","414","49dBm","","","QoS Data, SN=692, FN=0, Flags=.p..R.F."
"55","7.372961500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","157","48dBm","","","QoS Data, SN=693, FN=0, Flags=.p..R.F."
"63","7.375543700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","175","51dBm","","","QoS Data, SN=694, FN=0, Flags=.p..R.F."
"66","7.912194600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","144","48dBm","","","QoS Data, SN=695, FN=0, Flags=.p....F."
"67","7.912194600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","48dBm","","","QoS Data, SN=696, FN=0, Flags=.p....F."
"68","7.912194600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","48dBm","","","QoS Data, SN=697, FN=0, Flags=.p....F."
"70","7.912636000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","48dBm","","","QoS Data, SN=698, FN=0, Flags=.p....F."
"71","7.912636000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","148","48dBm","","","QoS Data, SN=699, FN=0, Flags=.p....F."
"72","7.912636000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=700, FN=0, Flags=.p....F."
"74","7.913751500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=701, FN=0, Flags=.p..R.F."
"75","7.913751500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=702, FN=0, Flags=.p..R.F."
"76","7.913751500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=703, FN=0, Flags=.p..R.F."
"78","7.915454700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=704, FN=0, Flags=.p..R.F."
"79","7.915454700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=705, FN=0, Flags=.p..R.F."
"80","7.915454700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=706, FN=0, Flags=.p..R.F."
"82","7.915929900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=707, FN=0, Flags=.p....F."
"83","7.915929900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=708, FN=0, Flags=.p....F."
"84","7.915929900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=709, FN=0, Flags=.p....F."
"86","7.916709600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=710, FN=0, Flags=.p....F."
"87","7.916709600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1392","48dBm","","","QoS Data, SN=711, FN=0, Flags=.p....F."
"89","7.916948200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","194","48dBm","","","QoS Data, SN=712, FN=0, Flags=.p....F."
"97","8.908724400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=713, FN=0, Flags=.p....F."
"98","8.910066400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=714, FN=0, Flags=.p....F."
"99","8.910066400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=715, FN=0, Flags=.p....F."
"100","8.910066400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","48dBm","","","QoS Data, SN=716, FN=0, Flags=.p....F."
"101","8.910066400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","48dBm","","","QoS Data, SN=717, FN=0, Flags=.p....F."
"102","8.910066400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","48dBm","","","QoS Data, SN=718, FN=0, Flags=.p....F."
"104","8.910641200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","148","48dBm","","","QoS Data, SN=719, FN=0, Flags=.p....F."
"105","8.910641200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=720, FN=0, Flags=.p....F."
"106","8.910641200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=721, FN=0, Flags=.p....F."
"108","8.911560400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","48dBm","","","QoS Data, SN=722, FN=0, Flags=.p....F."
"109","8.911885600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","47dBm","","","QoS Data, SN=723, FN=0, Flags=.p..R.F."
"110","8.911885600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","47dBm","","","QoS Data, SN=724, FN=0, Flags=.p....F."
"112","8.913102100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","389","48dBm","","","QoS Data, SN=725, FN=0, Flags=.p....F."
"113","8.913102100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","144","48dBm","","","QoS Data, SN=726, FN=0, Flags=.p....F."
"121","9.831038600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","49dBm","","","QoS Data, SN=727, FN=0, Flags=.p....F."
"122","9.832114400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","50dBm","","","QoS Data, SN=728, FN=0, Flags=.p....F."
"123","9.832114400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","50dBm","","","QoS Data, SN=729, FN=0, Flags=.p....F."
"124","9.832415800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","50dBm","","","QoS Data, SN=730, FN=0, Flags=.p....F."
"125","9.832415800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","50dBm","","","QoS Data, SN=731, FN=0, Flags=.p....F."
"126","9.832415800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","148","50dBm","","","QoS Data, SN=732, FN=0, Flags=.p....F."
"128","9.833192400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=733, FN=0, Flags=.p....F."
"129","9.833192400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=734, FN=0, Flags=.p....F."
"130","9.833192400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=735, FN=0, Flags=.p....F."
"132","9.834088200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=736, FN=0, Flags=.p....F."
"133","9.834088200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=737, FN=0, Flags=.p....F."
"134","9.834088200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=738, FN=0, Flags=.p....F."
"136","9.834544900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=739, FN=0, Flags=.p....F."
"137","9.834544900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=740, FN=0, Flags=.p....F."
"138","9.834544900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=741, FN=0, Flags=.p....F."
"140","9.835270400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=742, FN=0, Flags=.p....F."
"141","9.835270400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","50dBm","","","QoS Data, SN=743, FN=0, Flags=.p....F."
"142","9.835270400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1145","50dBm","","","QoS Data, SN=744, FN=0, Flags=.p....F."
"144","9.835532400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","194","50dBm","","","QoS Data, SN=745, FN=0, Flags=.p....F."
"149","10.547743200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","48dBm","","","QoS Data, SN=746, FN=0, Flags=.p....F."
"150","10.605724900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=747, FN=0, Flags=.p....F."
"151","10.607447200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","480","48dBm","","","QoS Data, SN=748, FN=0, Flags=.p....F."
"157","14.950928800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","48dBm","","","QoS Data, SN=749, FN=0, Flags=.p....F."
"161","15.465860600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","48dBm","","","QoS Data, SN=750, FN=0, Flags=.p....F."
"162","15.508658100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","47dBm","","","QoS Data, SN=751, FN=0, Flags=.p....F."
"164","16.282204800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","47dBm","","","QoS Data, SN=752, FN=0, Flags=.p....F."
"165","16.283350800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","132","47dBm","","","QoS Data, SN=753, FN=0, Flags=.p....F."
"172","21.953777500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","50dBm","","","QoS Data, SN=755, FN=0, Flags=.p....F."
"173","21.969273000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","50dBm","","","QoS Data, SN=756, FN=0, Flags=.p....F."
"174","21.969273000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","50dBm","","","QoS Data, SN=757, FN=0, Flags=.p....F."
"176","22.036889500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","50dBm","","","QoS Data, SN=758, FN=0, Flags=.p....F."
"177","22.036889500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","50dBm","","","QoS Data, SN=759, FN=0, Flags=.p....F."
"179","22.037229100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","51dBm","","","QoS Data, SN=760, FN=0, Flags=.p....F."
"180","22.046793600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","50dBm","","","QoS Data, SN=761, FN=0, Flags=.p....F."
"183","22.078892700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","51dBm","","","QoS Data, SN=762, FN=0, Flags=.p....F."
"186","25.498192700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","50dBm","","","QoS Data, SN=763, FN=0, Flags=.p....F."
"187","25.499305100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","50dBm","","","QoS Data, SN=764, FN=0, Flags=.p....F."
"190","26.215686000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","51dBm","","","QoS Data, SN=765, FN=0, Flags=.p....F."
"195","27.416070100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","51dBm","","","QoS Data, SN=766, FN=0, Flags=.p....F."
"196","27.416070100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","51dBm","","","QoS Data, SN=767, FN=0, Flags=.p....F."
"197","27.416070100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","51dBm","","","QoS Data, SN=768, FN=0, Flags=.p....F."
"198","27.416070100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","51dBm","","","QoS Data, SN=769, FN=0, Flags=.p....F."
"200","27.420835800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","51dBm","","","QoS Data, SN=770, FN=0, Flags=.p....F."
"202","27.771443000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","51dBm","","","QoS Data, SN=771, FN=0, Flags=.p....F."
"203","30.004048600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","176","48dBm","","","QoS Data, SN=772, FN=0, Flags=.p....F."
"206","30.618383800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","50dBm","","","QoS Data, SN=773, FN=0, Flags=.p....F."
"207","30.637644800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","50dBm","","","QoS Data, SN=774, FN=0, Flags=.p....F."
"209","33.327644600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","51dBm","","","QoS Data, SN=775, FN=0, Flags=.p....F."
"211","35.315261500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","49dBm","","","QoS Data, SN=776, FN=0, Flags=.p....F."
"213","39.322259200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","124","47dBm","","","QoS Data, SN=777, FN=0, Flags=.p....F."
"216","39.834287700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","48dBm","","","QoS Data, SN=778, FN=0, Flags=.p....F."
"219","40.242718900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","46dBm","","","QoS Data, SN=779, FN=0, Flags=.p....F."
"220","40.242718900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","46dBm","","","QoS Data, SN=780, FN=0, Flags=.p....F."
"221","40.242718900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","46dBm","","","QoS Data, SN=781, FN=0, Flags=.p....F."
"223","40.960817600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","48dBm","","","QoS Data, SN=782, FN=0, Flags=.p....F."
"224","40.961937500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","48dBm","","","QoS Data, SN=783, FN=0, Flags=.p....F."
"225","40.961937500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","48dBm","","","QoS Data, SN=784, FN=0, Flags=.p....F."
"229","41.946816800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=785, FN=0, Flags=.p....F."
"230","41.946816800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","48dBm","","","QoS Data, SN=786, FN=0, Flags=.p....F."
"231","41.955566000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","47dBm","","","QoS Data, SN=787, FN=0, Flags=.p....F."
