"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"5","5.458400900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2213, FN=0, Flags=.p..R.F."
"10","5.867029700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","34dBm","","","QoS Data, SN=2214, FN=0, Flags=.p....F."
"11","5.868182400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","34dBm","","","QoS Data, SN=2215, FN=0, Flags=.p....F."
"12","5.868182400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","233","34dBm","","","QoS Data, SN=2216, FN=0, Flags=.p....F."
"14","5.868484800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","34dBm","","","QoS Data, SN=2217, FN=0, Flags=.p....F."
"17","10.075463500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","31dBm","","","QoS Data, SN=2218, FN=0, Flags=.p....F."
"19","10.303388900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","32dBm","","","QoS Data, SN=2219, FN=0, Flags=.p....F."
"20","10.304335100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2220, FN=0, Flags=.p....F."
"24","15.698417300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","32dBm","","","QoS Data, SN=2221, FN=0, Flags=.p....F."
"27","16.107996000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","33dBm","","","QoS Data, SN=2222, FN=0, Flags=.p....F."
"30","19.485244400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","31dBm","","","QoS Data, SN=2223, FN=0, Flags=.p....F."
"32","19.755543500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2224, FN=0, Flags=.p....F."
"33","19.756288000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2225, FN=0, Flags=.p....F."
"34","19.756626500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","32dBm","","","QoS Data, SN=2226, FN=0, Flags=.p....F."
"35","19.757515500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","175","35dBm","","","QoS Data, SN=2227, FN=0, Flags=.p..R.F."
"36","19.757515500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","35dBm","","","QoS Data, SN=2228, FN=0, Flags=.p..R.F."
"37","19.757515500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","35dBm","","","QoS Data, SN=2229, FN=0, Flags=.p..R.F."
"39","19.757791900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","31dBm","","","QoS Data, SN=2230, FN=0, Flags=.p....F."
"41","19.794403900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","32dBm","","","QoS Data, SN=2231, FN=0, Flags=.p....F."
"42","19.800215800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2232, FN=0, Flags=.p....F."
"45","20.254642500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2233, FN=0, Flags=.p....F."
"49","20.308597400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","31dBm","","","QoS Data, SN=2234, FN=0, Flags=.p....F."
"51","20.665963900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","30dBm","","","QoS Data, SN=2235, FN=0, Flags=.p....F."
"52","20.667085300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","30dBm","","","QoS Data, SN=2236, FN=0, Flags=.p....F."
"53","20.720413900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","30dBm","","","QoS Data, SN=2237, FN=0, Flags=.p....F."
"54","21.228613400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","31dBm","","","QoS Data, SN=2238, FN=0, Flags=.p....F."
"56","23.910434700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","31dBm","","","QoS Data, SN=2239, FN=0, Flags=.p....F."
"58","25.222357400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2240, FN=0, Flags=.p..R.F."
"62","29.208687200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","31dBm","","","QoS Data, SN=2241, FN=0, Flags=.p....F."
"66","30.008926900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2242, FN=0, Flags=.p....F."
"67","30.010013200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","31dBm","","","QoS Data, SN=2243, FN=0, Flags=.p....F."
"68","30.010209800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","31dBm","","","QoS Data, SN=2244, FN=0, Flags=.p....F."
"70","30.547735800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","33dBm","","","QoS Data, SN=2245, FN=0, Flags=.p..R.F."
"73","31.365954200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","31dBm","","","QoS Data, SN=2246, FN=0, Flags=.p....F."
"75","35.871555400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","30dBm","","","QoS Data, SN=2247, FN=0, Flags=.p....F."
"77","37.816965600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","32dBm","","","QoS Data, SN=2248, FN=0, Flags=.p....F."
"81","40.684337400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2249, FN=0, Flags=.p....F."
"84","41.505624600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","390","31dBm","","","QoS Data, SN=2250, FN=0, Flags=.p..R.F."
"88","45.599728800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2251, FN=0, Flags=.p..R.F."
"91","46.418814500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","31dBm","","","QoS Data, SN=2252, FN=0, Flags=.p..R.F."
