"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.223100100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=2451, FN=0, Flags=.p....F."
"6","1.111179900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2452, FN=0, Flags=.p....F."
"8","1.506402900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=2453, FN=0, Flags=.p....F."
"10","2.642329100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","34dBm","","","QoS Data, SN=2454, FN=0, Flags=.p....F."
"11","3.193008700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","34dBm","","","QoS Data, SN=2455, FN=0, Flags=.p....F."
"14","3.602790500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2456, FN=0, Flags=.p....F."
"17","4.216996000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","34dBm","","","QoS Data, SN=2457, FN=0, Flags=.p....F."
"23","8.624021700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2459, FN=0, Flags=.p....F."
"27","9.542666900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=2460, FN=0, Flags=.p....F."
"29","10.464088700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","36dBm","","","QoS Data, SN=2461, FN=0, Flags=.p....F."
"31","10.875406400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","182","37dBm","","","QoS Data, SN=2462, FN=0, Flags=.p....F."
"34","11.590506900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","37dBm","","","QoS Data, SN=2463, FN=0, Flags=.p....F."
"36","11.591911100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","665","37dBm","","","QoS Data, SN=2464, FN=0, Flags=.p..R.F."
"37","11.591911100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","37dBm","","","QoS Data, SN=2465, FN=0, Flags=.p..R.F."
"40","11.648138800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","37dBm","","","QoS Data, SN=2466, FN=0, Flags=.p....F."
"43","11.906013600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","34dBm","","","QoS Data, SN=2467, FN=0, Flags=.p....F."
"44","11.906013600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","34dBm","","","QoS Data, SN=2468, FN=0, Flags=.p....F."
"45","11.911933800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2469, FN=0, Flags=.p....F."
"47","13.229220700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2470, FN=0, Flags=.p....F."
"52","13.413193000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","165","34dBm","","","QoS Data, SN=2471, FN=0, Flags=.p....F."
"53","13.419433500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","151","35dBm","","","QoS Data, SN=2472, FN=0, Flags=.p....F."
"56","13.638617500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2473, FN=0, Flags=.p..R.F."
"58","13.639981200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","110","34dBm","","","QoS Data, SN=2474, FN=0, Flags=.p..R.F."
"62","13.696501000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2475, FN=0, Flags=.p....F."
"65","13.762740300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","35dBm","","","QoS Data, SN=2476, FN=0, Flags=.p....F."
"66","13.853189400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2477, FN=0, Flags=.p....F."
"67","13.853189400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","245","35dBm","","","QoS Data, SN=2478, FN=0, Flags=.p....F."
"69","14.048536800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2479, FN=0, Flags=.p....F."
"70","14.099888700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","35dBm","","","QoS Data, SN=2480, FN=0, Flags=.p....F."
"71","14.128032200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","294","35dBm","","","QoS Data, SN=2481, FN=0, Flags=.p..R.F."
"74","14.242597500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","165","35dBm","","","QoS Data, SN=2482, FN=0, Flags=.p....F."
"76","14.457978900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2483, FN=0, Flags=.p....F."
"79","14.765580600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","34dBm","","","QoS Data, SN=2484, FN=0, Flags=.p....F."
"80","14.766376000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","861","34dBm","","","QoS Data, SN=2485, FN=0, Flags=.p..R.F."
"83","16.915289200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","35dBm","","","QoS Data, SN=2486, FN=0, Flags=.p....F."
"86","18.963311900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=2488, FN=0, Flags=.p....F."
"87","19.172953200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2489, FN=0, Flags=.p....F."
"91","19.782823800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","35dBm","","","QoS Data, SN=2490, FN=0, Flags=.p....F."
"93","22.651619400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","35dBm","","","QoS Data, SN=2491, FN=0, Flags=.p..R.F."
"95","23.673863100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2492, FN=0, Flags=.p....F."
"96","23.674991400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2493, FN=0, Flags=.p..R.F."
"99","24.288316200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","35dBm","","","QoS Data, SN=2494, FN=0, Flags=.p....F."
"100","24.289400600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","162","35dBm","","","QoS Data, SN=2495, FN=0, Flags=.p..R.F."
"101","24.289400600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2496, FN=0, Flags=.p....F."
"103","24.289899300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2497, FN=0, Flags=.p....F."
"106","24.323537200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2498, FN=0, Flags=.p..R.F."
"109","25.448757900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","196","35dBm","","","QoS Data, SN=2499, FN=0, Flags=.p..R.F."
"113","28.589016600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=2500, FN=0, Flags=.p....F."
"119","28.896632700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2501, FN=0, Flags=.p....F."
"120","28.897056500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2502, FN=0, Flags=.p....F."
"121","28.897056500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2503, FN=0, Flags=.p....F."
"122","28.898012100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","36dBm","","","QoS Data, SN=2504, FN=0, Flags=.p....F."
"123","28.898012100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","36dBm","","","QoS Data, SN=2505, FN=0, Flags=.p....F."
"124","28.898012100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","36dBm","","","QoS Data, SN=2506, FN=0, Flags=.p....F."
"126","29.100892400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=2507, FN=0, Flags=.p....F."
"129","33.770179000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2508, FN=0, Flags=.p....F."
"131","33.795987100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","35dBm","","","QoS Data, SN=2509, FN=0, Flags=.p....F."
"133","34.017949800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2510, FN=0, Flags=.p....F."
"134","34.223860300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","35dBm","","","QoS Data, SN=2511, FN=0, Flags=.p....F."
"135","37.704838800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","35dBm","","","QoS Data, SN=2512, FN=0, Flags=.p....F."
"136","37.704838800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","35dBm","","","QoS Data, SN=2513, FN=0, Flags=.p....F."
"137","37.704838800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","35dBm","","","QoS Data, SN=2514, FN=0, Flags=.p....F."
"140","37.908009300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2515, FN=0, Flags=.p....F."
"143","38.597202100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2516, FN=0, Flags=.p....F."
"144","38.597202100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2517, FN=0, Flags=.p....F."
"147","38.721658100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2518, FN=0, Flags=.p....F."
"148","38.727847200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","302","35dBm","","","QoS Data, SN=2519, FN=0, Flags=.p....F."
"149","38.727847200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","35dBm","","","QoS Data, SN=2520, FN=0, Flags=.p....F."
"151","39.341135000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=2521, FN=0, Flags=.p....F."
"153","41.798541800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2522, FN=0, Flags=.p....F."
"155","41.872955900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2523, FN=0, Flags=.p....F."
"158","43.582196200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2524, FN=0, Flags=.p....F."
"160","43.601185000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2525, FN=0, Flags=.p....F."
"162","43.847017100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","138","35dBm","","","QoS Data, SN=2526, FN=0, Flags=.p....F."
"164","43.936571200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","36dBm","","","QoS Data, SN=2527, FN=0, Flags=.p....F."
"166","45.487340000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2528, FN=0, Flags=.p....F."
"168","46.177143800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2529, FN=0, Flags=.p....F."
"170","46.716346200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2530, FN=0, Flags=.p....F."
"173","49.069361800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2532, FN=0, Flags=.p..R.F."
"174","49.070881200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2533, FN=0, Flags=.p..R.F."
"177","49.581593600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","399","35dBm","","","QoS Data, SN=2534, FN=0, Flags=.p..R.F."
"180","53.443391700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","358","36dBm","","","QoS Data, SN=2535, FN=0, Flags=.p..R.F."
"182","53.469625500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2536, FN=0, Flags=.p....F."
"185","53.498002100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2537, FN=0, Flags=.p....F."
"186","53.498002100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","653","36dBm","","","QoS Data, SN=2538, FN=0, Flags=.p....F."
"188","53.535834100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","652","36dBm","","","QoS Data, SN=2539, FN=0, Flags=.p....F."
"190","53.587693600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2540, FN=0, Flags=.p....F."
"191","53.593833200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2541, FN=0, Flags=.p....F."
"195","56.946210500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2542, FN=0, Flags=.p....F."
"198","59.002327700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2544, FN=0, Flags=.p....F."
"199","59.065048200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2545, FN=0, Flags=.p..R.F."
"202","59.513697600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","35dBm","","","QoS Data, SN=2546, FN=0, Flags=.p....F."
"204","63.609831500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2547, FN=0, Flags=.p....F."
"205","63.610660100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2548, FN=0, Flags=.p....F."
"208","67.501848500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","36dBm","","","QoS Data, SN=2549, FN=0, Flags=.p..R.F."
"212","69.040177600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=2551, FN=0, Flags=.p..R.F."
"213","69.051879400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=2552, FN=0, Flags=.p..R.F."
"216","69.344886100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","37dBm","","","QoS Data, SN=2553, FN=0, Flags=.p..R.F."
"219","72.695052700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2554, FN=0, Flags=.p....F."
"220","72.695052700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2555, FN=0, Flags=.p....F."
"221","72.695052700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","35dBm","","","QoS Data, SN=2556, FN=0, Flags=.p....F."
"223","72.786212400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","36dBm","","","QoS Data, SN=2557, FN=0, Flags=.p....F."
"224","72.786212400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","36dBm","","","QoS Data, SN=2558, FN=0, Flags=.p....F."
"225","72.786212400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","36dBm","","","QoS Data, SN=2559, FN=0, Flags=.p....F."
"226","72.786212400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","36dBm","","","QoS Data, SN=2560, FN=0, Flags=.p....F."
"229","72.816711100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2561, FN=0, Flags=.p....F."
"232","73.745630000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2562, FN=0, Flags=.p....F."
"233","73.746206200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2563, FN=0, Flags=.p....F."
"236","73.853681100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2564, FN=0, Flags=.p....F."
"239","73.919512600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2565, FN=0, Flags=.p....F."
"240","74.157066300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2566, FN=0, Flags=.p....F."
"241","74.874025900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2567, FN=0, Flags=.p....F."
"243","75.488624200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2568, FN=0, Flags=.p....F."
"246","76.631970400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","141","36dBm","","","QoS Data, SN=2569, FN=0, Flags=.p....F."
"248","77.024108100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2570, FN=0, Flags=.p....F."
"251","77.434119200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","35dBm","","","QoS Data, SN=2571, FN=0, Flags=.p....F."
"252","77.435366000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","245","35dBm","","","QoS Data, SN=2572, FN=0, Flags=.p..R.F."
"257","78.969849600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","275","33dBm","","","QoS Data, SN=2575, FN=0, Flags=.p....F."
"258","78.971161100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","33dBm","","","QoS Data, SN=2576, FN=0, Flags=.p..R.F."
"260","79.048037300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","33dBm","","","QoS Data, SN=2577, FN=0, Flags=.p..R.F."
"263","79.129984900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","33dBm","","","QoS Data, SN=2578, FN=0, Flags=.p....F."
