"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","480","37dBm","","","QoS Data, SN=1864, FN=0, Flags=.p....F."
"5","0.133389500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=1865, FN=0, Flags=.p....F."
"9","1.266126900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","209","37dBm","","","QoS Data, SN=1866, FN=0, Flags=.p....F."
"10","1.282929200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=1867, FN=0, Flags=.p....F."
"13","3.449242000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1868, FN=0, Flags=.p....F."
"15","5.119905100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=1869, FN=0, Flags=.p....F."
"18","5.835931100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=1870, FN=0, Flags=.p....F."
"20","8.395837000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=1871, FN=0, Flags=.p....F."
"22","10.136407000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","37dBm","","","QoS Data, SN=1872, FN=0, Flags=.p....F."
"24","11.058144200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1873, FN=0, Flags=.p....F."
"26","11.177555900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1874, FN=0, Flags=.p....F."
"27","11.468269900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","35dBm","","","QoS Data, SN=1875, FN=0, Flags=.p....F."
"28","11.469028600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","35dBm","","","QoS Data, SN=1876, FN=0, Flags=.p....F."
"32","11.820937600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1877, FN=0, Flags=.p....F."
"36","15.461367900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1879, FN=0, Flags=.p....F."
"37","15.530659500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=1880, FN=0, Flags=.p....F."
"40","16.075673300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","39dBm","","","QoS Data, SN=1881, FN=0, Flags=.p....F."
