distance(m),1,2,3,4,5,6,7,8,9,10
log distance,0,0.301029996,0.477121255,0.602059991,0.698970004,0.77815125,0.84509804,0.84509804,0.954242509,1
average RSS(dBm),55.20512821,41.25,36.07563025,36.3943662,36.35064935,36.13513514,35.2231405,30.12,32.27472527,28.92592593
standard deviation(dBm),1.16054067,0.843130811,1.058938258,0.886064706,1.222230853,1.208693672,0.880223488,0.787743956,1.300136181,0.668759817
,outer 1,outer 2,outer 3,outer 4,outer 5,outer 6,outer 7,outer 8,outer 9,outer 10
,Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm)
,58,42,37,37,35,36,34,29,29,29
,56,41,36,36,35,36,35,29,32,29
,55,40,36,37,34,36,34,29,32,29
,55,40,36,36,38,35,34,30,33,28
,55,40,36,37,38,37,34,29,31,29
,55,40,36,36,37,37,34,30,30,29
,56,43,36,36,39,36,34,30,31,29
,56,41,38,36,37,37,34,33,31,29
,55,42,36,37,37,39,34,31,31,29
,56,42,36,37,37,40,36,31,30,29
,57,42,38,37,37,40,37,30,30,29
,58,42,36,35,36,36,37,31,31,28
,58,42,37,35,36,35,37,31,30,30
,57,42,37,37,36,36,37,31,30,29
,57,42,37,37,36,36,37,31,30,30
,57,41,38,37,36,35,34,29,30,30
,58,41,38,39,36,36,34,29,30,29
,55,41,38,38,35,36,35,30,30,28
,55,42,38,38,34,36,35,30,30,30
,55,41,38,38,35,36,34,30,30,28
,55,41,38,37,37,37,35,30,30,28
,55,41,37,38,37,36,35,30,31,28
,55,41,37,38,36,37,34,30,31,28
,55,41,37,38,38,36,35,30,31,28
,55,41,37,38,37,36,35,30,34,28
,55,41,37,36,35,36,35,30,34,30
,56,41,36,36,35,37,35,30,34,29
,56,41,36,36,37,35,35,30,34,29
,55,41,35,36,36,35,35,30,34,30
,55,41,35,36,36,35,35,30,34,29
,55,41,37,36,37,36,35,30,34,30
,55,41,38,36,37,36,36,30,34,29
,55,41,37,36,37,36,34,31,34,29
,55,41,37,36,38,36,34,30,34,28
,55,42,37,37,38,36,35,31,32,28
,55,42,38,37,39,36,34,31,33,29
,55,42,37,37,39,36,35,31,33,29
,55,42,36,37,39,36,35,31,32,29
,55,42,36,36,38,36,35,29,32,29
,55,42,36,36,36,37,35,31,32,29
,55,42,37,36,39,37,35,31,32,29
,55,42,37,36,36,36,35,31,33,29
,55,42,37,36,35,37,35,31,32,30
,55,42,37,36,36,37,35,31,33,30
,55,42,37,36,36,37,35,31,33,29
,55,42,37,36,36,36,35,31,33,28
,55,41,37,36,36,36,35,31,33,28
,55,41,37,36,36,37,37,31,32,28
,55,41,37,36,36,37,36,30,32,30
,55,41,37,37,35,37,36,30,33,29
,55,41,38,35,35,36,36,30,33,29
,55,41,36,35,35,35,36,29,32,29
,55,41,36,35,37,37,36,29,32,29
,55,42,36,36,37,36,36,29,32,29
,55,42,36,36,39,38,36,29,33,
,55,41,36,36,37,38,35,29,33,
