"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.128045400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=2939, FN=0, Flags=.p..R.F."
"6","1.663584100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","32dBm","","","QoS Data, SN=2940, FN=0, Flags=.p....F."
"8","3.301847300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","32dBm","","","QoS Data, SN=2941, FN=0, Flags=.p....F."
"11","3.612242600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","33dBm","","","QoS Data, SN=2942, FN=0, Flags=.p....F."
"12","6.784064000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","331","31dBm","","","QoS Data, SN=2943, FN=0, Flags=.p....F."
"15","8.328537900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2944, FN=0, Flags=.p....F."
"18","8.627606300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","31dBm","","","QoS Data, SN=2945, FN=0, Flags=.p....F."
"20","8.832312700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","31dBm","","","QoS Data, SN=2946, FN=0, Flags=.p....F."
"22","13.338138000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2947, FN=0, Flags=.p....F."
"25","13.646446400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","30dBm","","","QoS Data, SN=2948, FN=0, Flags=.p..R.F."
"27","14.463778000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=2949, FN=0, Flags=.p....F."
"29","18.669084700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","31dBm","","","QoS Data, SN=2950, FN=0, Flags=.p....F."
"31","23.270799400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2951, FN=0, Flags=.p....F."
"34","23.578063300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","30dBm","","","QoS Data, SN=2952, FN=0, Flags=.p....F."
"36","23.783261700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","30dBm","","","QoS Data, SN=2953, FN=0, Flags=.p....F."
"39","28.273227100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","30dBm","","","QoS Data, SN=2954, FN=0, Flags=.p....F."
"40","28.273958600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2955, FN=0, Flags=.p....F."
"43","28.454885000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","30dBm","","","QoS Data, SN=2956, FN=0, Flags=.p....F."
"45","28.698768100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","30dBm","","","QoS Data, SN=2957, FN=0, Flags=.p....F."
"47","30.578410600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=2958, FN=0, Flags=.p..R.F."
"49","30.782916400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=2959, FN=0, Flags=.p....F."
"52","33.305609800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","31dBm","","","QoS Data, SN=2960, FN=0, Flags=.p....F."
"56","33.715419600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","31dBm","","","QoS Data, SN=2961, FN=0, Flags=.p....F."
"57","33.745169500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","31dBm","","","QoS Data, SN=2962, FN=0, Flags=.p..R.F."
"60","38.324626600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","34dBm","","","QoS Data, SN=2963, FN=0, Flags=.p....F."
