"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.341291500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2146, FN=0, Flags=.p....F."
"5","0.342101800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2147, FN=0, Flags=.p....F."
"8","0.751542200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","394","36dBm","","","QoS Data, SN=2148, FN=0, Flags=.p....F."
"10","1.699696900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2149, FN=0, Flags=.p....F."
"13","5.768480900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=2151, FN=0, Flags=.p....F."
"14","5.769198900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=2152, FN=0, Flags=.p....F."
"17","6.075491300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=2153, FN=0, Flags=.p....F."
"19","7.323690400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=2154, FN=0, Flags=.p....F."
"20","7.816759200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","39dBm","","","QoS Data, SN=2155, FN=0, Flags=.p....F."
"23","10.274710200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=2156, FN=0, Flags=.p....F."
"24","10.275536300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","40dBm","","","QoS Data, SN=2157, FN=0, Flags=.p....F."
"28","11.708339000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2158, FN=0, Flags=.p....F."
"29","12.322868800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","35dBm","","","QoS Data, SN=2159, FN=0, Flags=.p....F."
"32","12.912530500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2160, FN=0, Flags=.p....F."
"35","15.397644200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2161, FN=0, Flags=.p....F."
"38","15.457872300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","35dBm","","","QoS Data, SN=2162, FN=0, Flags=.p....F."
"39","15.599373200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2163, FN=0, Flags=.p....F."
"41","20.313548300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2164, FN=0, Flags=.p....F."
"42","20.313548300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2165, FN=0, Flags=.p....F."
"45","20.924219500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=2166, FN=0, Flags=.p....F."
"48","25.635082000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=2168, FN=0, Flags=.p....F."
"49","25.707851000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2169, FN=0, Flags=.p....F."
"52","25.941952000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","37dBm","","","QoS Data, SN=2170, FN=0, Flags=.p....F."
"54","27.375593500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2171, FN=0, Flags=.p....F."
"56","30.345155700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2172, FN=0, Flags=.p....F."
"57","30.346305600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2173, FN=0, Flags=.p....F."
"60","30.653011700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","37dBm","","","QoS Data, SN=2174, FN=0, Flags=.p....F."
"63","35.669953100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=2176, FN=0, Flags=.p....F."
"64","35.724714700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2177, FN=0, Flags=.p....F."
"67","36.182074600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","150","35dBm","","","QoS Data, SN=2178, FN=0, Flags=.p....F."
"68","39.562746700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","36dBm","","","QoS Data, SN=2179, FN=0, Flags=.p..R.F."
"69","39.563016500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","36dBm","","","QoS Data, SN=2180, FN=0, Flags=.p....F."
"71","39.563268800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","36dBm","","","QoS Data, SN=2181, FN=0, Flags=.p....F."
"73","39.766226200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2182, FN=0, Flags=.p....F."
"76","40.270128200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2183, FN=0, Flags=.p....F."
"77","40.271120000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","36dBm","","","QoS Data, SN=2184, FN=0, Flags=.p....F."
"80","40.398000600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=2185, FN=0, Flags=.p....F."
"81","40.410166600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","302","36dBm","","","QoS Data, SN=2186, FN=0, Flags=.p....F."
"82","40.410166600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","36dBm","","","QoS Data, SN=2187, FN=0, Flags=.p....F."
"84","40.687847100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","37dBm","","","QoS Data, SN=2188, FN=0, Flags=.p....F."
"86","40.939493900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=2189, FN=0, Flags=.p....F."
"88","42.223500800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2190, FN=0, Flags=.p....F."
"91","42.398729800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=2191, FN=0, Flags=.p....F."
"92","42.398729800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=2192, FN=0, Flags=.p....F."
"93","42.398729800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","37dBm","","","QoS Data, SN=2193, FN=0, Flags=.p....F."
"95","42.482135200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","36dBm","","","QoS Data, SN=2194, FN=0, Flags=.p..R.F."
"96","42.482135200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","36dBm","","","QoS Data, SN=2195, FN=0, Flags=.p..R.F."
"98","42.482451400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","37dBm","","","QoS Data, SN=2196, FN=0, Flags=.p....F."
"99","42.482451400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","37dBm","","","QoS Data, SN=2197, FN=0, Flags=.p....F."
"102","42.513297500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=2198, FN=0, Flags=.p....F."
"105","45.705696500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","36dBm","","","QoS Data, SN=2200, FN=0, Flags=.p....F."
"106","45.740439300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","35dBm","","","QoS Data, SN=2201, FN=0, Flags=.p..R.F."
