"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"5","0.347582100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","52dBm","","","QoS Data, SN=851, FN=0, Flags=.p....F."
"6","0.663105400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","51dBm","","","QoS Data, SN=852, FN=0, Flags=.p....F."
"8","0.763748300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","51dBm","","","QoS Data, SN=853, FN=0, Flags=.p....F."
"9","0.763748300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","51dBm","","","QoS Data, SN=854, FN=0, Flags=.p....F."
"10","0.763748300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","51dBm","","","QoS Data, SN=855, FN=0, Flags=.p....F."
"13","0.969742400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","52dBm","","","QoS Data, SN=856, FN=0, Flags=.p....F."
"17","1.788889500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","54dBm","","","QoS Data, SN=857, FN=0, Flags=.p....F."
"18","1.789951800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","302","54dBm","","","QoS Data, SN=858, FN=0, Flags=.p....F."
"19","1.789951800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","54dBm","","","QoS Data, SN=859, FN=0, Flags=.p....F."
"21","1.994747000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","52dBm","","","QoS Data, SN=860, FN=0, Flags=.p....F."
"22","1.995679100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","52dBm","","","QoS Data, SN=861, FN=0, Flags=.p....F."
"23","1.995679100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","52dBm","","","QoS Data, SN=862, FN=0, Flags=.p....F."
"26","5.372962300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","50dBm","","","QoS Data, SN=863, FN=0, Flags=.p....F."
"28","9.847739600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","52dBm","","","QoS Data, SN=864, FN=0, Flags=.p....F."
"30","10.390637400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","141","51dBm","","","QoS Data, SN=865, FN=0, Flags=.p....F."
"32","10.800418500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","51dBm","","","QoS Data, SN=866, FN=0, Flags=.p....F."
"34","15.511138100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","50dBm","","","QoS Data, SN=867, FN=0, Flags=.p....F."
"37","20.129081800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","52dBm","","","QoS Data, SN=868, FN=0, Flags=.p....F."
"38","20.323439900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","141","53dBm","","","QoS Data, SN=869, FN=0, Flags=.p....F."
"39","20.734719000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","52dBm","","","QoS Data, SN=870, FN=0, Flags=.p....F."
"45","25.289047300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","51dBm","","","QoS Data, SN=871, FN=0, Flags=.p....F."
"47","25.955528000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","50dBm","","","QoS Data, SN=872, FN=0, Flags=.p....F."
"51","27.667713400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","51dBm","","","QoS Data, SN=873, FN=0, Flags=.p....F."
"52","27.676392600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","51dBm","","","QoS Data, SN=874, FN=0, Flags=.p....F."
"53","27.676392600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","51dBm","","","QoS Data, SN=875, FN=0, Flags=.p....F."
"55","27.758930100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","52dBm","","","QoS Data, SN=876, FN=0, Flags=.p....F."
"56","27.758930100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","52dBm","","","QoS Data, SN=877, FN=0, Flags=.p....F."
"58","27.759222600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","52dBm","","","QoS Data, SN=878, FN=0, Flags=.p....F."
"59","27.759222600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","52dBm","","","QoS Data, SN=879, FN=0, Flags=.p....F."
"62","27.796463500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","53dBm","","","QoS Data, SN=880, FN=0, Flags=.p....F."
"63","28.413216100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","52dBm","","","QoS Data, SN=881, FN=0, Flags=.p....F."
"67","30.358741100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","409","52dBm","","","QoS Data, SN=882, FN=0, Flags=.p....F."
"70","33.077082700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","52dBm","","","QoS Data, SN=883, FN=0, Flags=.p....F."
"72","35.063158900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","52dBm","","","QoS Data, SN=884, FN=0, Flags=.p....F."
"75","38.960775700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","53dBm","","","QoS Data, SN=885, FN=0, Flags=.p....F."
"76","38.961445000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","52dBm","","","QoS Data, SN=886, FN=0, Flags=.p....F."
"77","38.961445000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","52dBm","","","QoS Data, SN=887, FN=0, Flags=.p....F."
"78","38.961713000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","52dBm","","","QoS Data, SN=888, FN=0, Flags=.p....F."
"81","40.394051900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","150","53dBm","","","QoS Data, SN=889, FN=0, Flags=.p....F."
"84","43.870959500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","55dBm","","","QoS Data, SN=890, FN=0, Flags=.p....F."
"85","43.870959500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","132","55dBm","","","QoS Data, SN=891, FN=0, Flags=.p....F."
