"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1327, FN=0, Flags=.p....F."
"7","0.307433200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","36dBm","","","QoS Data, SN=1328, FN=0, Flags=.p....F."
"8","0.308398000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","36dBm","","","QoS Data, SN=1329, FN=0, Flags=.p....F."
"9","0.308398000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","36dBm","","","QoS Data, SN=1330, FN=0, Flags=.p....F."
"11","0.312013200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1516","36dBm","","","QoS Data, SN=1331, FN=0, Flags=.p....F."
"12","0.312013200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","607","36dBm","","","QoS Data, SN=1332, FN=0, Flags=.p....F."
"15","0.392607600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","141","36dBm","","","QoS Data, SN=1333, FN=0, Flags=.p....F."
"16","0.614400100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","157","38dBm","","","QoS Data, SN=1334, FN=0, Flags=.p....F."
"19","0.921582300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","36dBm","","","QoS Data, SN=1335, FN=0, Flags=.p....F."
"20","0.924466000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","418","36dBm","","","QoS Data, SN=1336, FN=0, Flags=.p..R.F."
"22","3.788943100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","38dBm","","","QoS Data, SN=1337, FN=0, Flags=.p....F."
"27","5.540053400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=1338, FN=0, Flags=.p....F."
"28","5.549706900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1339, FN=0, Flags=.p....F."
"29","5.556281200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1340, FN=0, Flags=.p..R.F."
"30","5.556281200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","37dBm","","","QoS Data, SN=1341, FN=0, Flags=.p..R.F."
"32","5.641655100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","38dBm","","","QoS Data, SN=1342, FN=0, Flags=.p..R.F."
"33","5.642220700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","38dBm","","","QoS Data, SN=1343, FN=0, Flags=.p..R.F."
"35","5.642492300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","38dBm","","","QoS Data, SN=1344, FN=0, Flags=.p....F."
"36","5.642492300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","38dBm","","","QoS Data, SN=1345, FN=0, Flags=.p....F."
"39","5.664343900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","38dBm","","","QoS Data, SN=1346, FN=0, Flags=.p....F."
"42","10.854918200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","161","38dBm","","","QoS Data, SN=1347, FN=0, Flags=.p....F."
"45","14.304800900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1349, FN=0, Flags=.p....F."
"48","15.667730800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","37dBm","","","QoS Data, SN=1350, FN=0, Flags=.p....F."
"49","15.669261900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","37dBm","","","QoS Data, SN=1351, FN=0, Flags=.p....F."
"50","15.872548000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","138","37dBm","","","QoS Data, SN=1352, FN=0, Flags=.p....F."
"53","20.787857700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","151","37dBm","","","QoS Data, SN=1353, FN=0, Flags=.p....F."
