"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.309508900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","58dBm","","","QoS Data, SN=716, FN=0, Flags=.p....F."
"7","1.166145600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","56dBm","","","QoS Data, SN=717, FN=0, Flags=.p....F."
"10","7.913621500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","55dBm","","","QoS Data, SN=718, FN=0, Flags=.p....F."
"13","8.063872000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","55dBm","","","QoS Data, SN=719, FN=0, Flags=.p....F."
"14","8.063872000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","55dBm","","","QoS Data, SN=720, FN=0, Flags=.p....F."
"15","8.809388200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","509","55dBm","","","QoS Data, SN=721, FN=0, Flags=.p....F."
"16","8.810061900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","509","56dBm","","","QoS Data, SN=722, FN=0, Flags=.p....F."
"18","9.528985600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","56dBm","","","QoS Data, SN=723, FN=0, Flags=.p....F."
"20","10.242500800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","55dBm","","","QoS Data, SN=724, FN=0, Flags=.p....F."
"23","10.755101300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","56dBm","","","QoS Data, SN=725, FN=0, Flags=.p....F."
"25","14.443916400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","57dBm","","","QoS Data, SN=726, FN=0, Flags=.p....F."
"27","14.653928000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","58dBm","","","QoS Data, SN=727, FN=0, Flags=.p....F."
"28","14.674526100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","58dBm","","","QoS Data, SN=728, FN=0, Flags=.p....F."
"32","15.102445000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","162","57dBm","","","QoS Data, SN=729, FN=0, Flags=.p....F."
"35","16.420266600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","57dBm","","","QoS Data, SN=730, FN=0, Flags=.p....F."
"36","16.420266600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","57dBm","","","QoS Data, SN=731, FN=0, Flags=.p....F."
"39","17.842081300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","58dBm","","","QoS Data, SN=732, FN=0, Flags=.p....F."
"132","19.283972900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","388","55dBm","","","QoS Data, SN=733, FN=0, Flags=.p....F."
"133","19.283972900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","170","55dBm","","","QoS Data, SN=734, FN=0, Flags=.p....F."
"136","19.289406200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","143","55dBm","","","QoS Data, SN=735, FN=0, Flags=.p....F."
"137","19.291151700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","142","55dBm","","","QoS Data, SN=736, FN=0, Flags=.p....F."
"139","19.294242800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","253","55dBm","","","QoS Data, SN=737, FN=0, Flags=.p..R.F."
"141","19.294844300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","155","55dBm","","","QoS Data, SN=738, FN=0, Flags=.p....F."
"142","19.295299700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","173","55dBm","","","QoS Data, SN=739, FN=0, Flags=.p....F."
"146","19.298899400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","995","55dBm","","","QoS Data, SN=740, FN=0, Flags=.p....F."
"148","19.308501600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","55dBm","","","QoS Data, SN=741, FN=0, Flags=.p....F."
"151","19.314270400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","56dBm","","","QoS Data, SN=742, FN=0, Flags=.p....F."
"153","19.314892900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","143","56dBm","","","QoS Data, SN=743, FN=0, Flags=.p....F."
"156","19.319991400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","55dBm","","","QoS Data, SN=744, FN=0, Flags=.p....F."
"159","19.336110400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","55dBm","","","QoS Data, SN=745, FN=0, Flags=.p....F."
"162","19.342184200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","55dBm","","","QoS Data, SN=746, FN=0, Flags=.p....F."
"163","19.342184200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","318","55dBm","","","QoS Data, SN=747, FN=0, Flags=.p....F."
