"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.905906600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","29dBm","","","QoS Data, SN=1893, FN=0, Flags=.p....F."
"7","3.363474600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","36dBm","","","QoS Data, SN=1894, FN=0, Flags=.p....F."
"8","3.448517400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","293","36dBm","","","QoS Data, SN=1895, FN=0, Flags=.p....F."
"11","4.182799100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","270","32dBm","","","QoS Data, SN=1896, FN=0, Flags=.p....F."
"14","4.730079300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","35dBm","","","QoS Data, SN=1897, FN=0, Flags=.p....F."
"21","10.329858300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","43dBm","","","QoS Data, SN=1898, FN=0, Flags=.p....F."
"24","10.725829300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","43dBm","","","QoS Data, SN=1899, FN=0, Flags=.p....F."
"26","10.726739400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","43dBm","","","QoS Data, SN=1900, FN=0, Flags=.p....F."
"32","13.194120300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","44dBm","","","QoS Data, SN=1901, FN=0, Flags=.p....F."
"35","16.061696800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=1902, FN=0, Flags=.p....F."
"38","17.650255400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","37dBm","","","QoS Data, SN=1903, FN=0, Flags=.p....F."
"40","19.494826800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=1904, FN=0, Flags=.p....F."
"42","22.592642400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","41dBm","","","QoS Data, SN=1905, FN=0, Flags=.p....F."
"43","23.024889000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","41dBm","","","QoS Data, SN=1906, FN=0, Flags=.p....F."
"46","23.844017500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","195","40dBm","","","QoS Data, SN=1907, FN=0, Flags=.p....F."
"49","27.940263000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","40dBm","","","QoS Data, SN=1908, FN=0, Flags=.p....F."
"53","30.382446700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=1909, FN=0, Flags=.p....F."
"55","30.934582800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=1910, FN=0, Flags=.p....F."
"57","32.855033500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","40dBm","","","QoS Data, SN=1911, FN=0, Flags=.p....F."
"58","32.856106800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","40dBm","","","QoS Data, SN=1912, FN=0, Flags=.p....F."
