"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"90","18.907224800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","42dBm","","","QoS Data, SN=1140, FN=0, Flags=.p....F."
"91","18.914000500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1141, FN=0, Flags=.p....F."
"92","18.919722900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1142, FN=0, Flags=.p....F."
"94","18.998683300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","521","41dBm","","","QoS Data, SN=1143, FN=0, Flags=.p....F."
"98","19.004548500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","41dBm","","","QoS Data, SN=1144, FN=0, Flags=.p....F."
"99","19.004548500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","41dBm","","","QoS Data, SN=1145, FN=0, Flags=.p....F."
"102","19.014523400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1146, FN=0, Flags=.p....F."
"103","19.024187700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1147, FN=0, Flags=.p....F."
"104","19.030421000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1148, FN=0, Flags=.p....F."
"105","19.030421000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1149, FN=0, Flags=.p....F."
"106","19.128235100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","904","42dBm","","","QoS Data, SN=1150, FN=0, Flags=.p....F."
"107","19.128235100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","42dBm","","","QoS Data, SN=1151, FN=0, Flags=.p....F."
"109","19.128585200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","41dBm","","","QoS Data, SN=1152, FN=0, Flags=.p....F."
"112","19.150933000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1153, FN=0, Flags=.p....F."
"113","19.156314600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1154, FN=0, Flags=.p....F."
"116","20.506279200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","42dBm","","","QoS Data, SN=1155, FN=0, Flags=.p..R.F."
"117","20.796833900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","196","42dBm","","","QoS Data, SN=1156, FN=0, Flags=.p....F."
"119","22.127634500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1157, FN=0, Flags=.p....F."
"122","22.767069200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1158, FN=0, Flags=.p....F."
"124","22.946736300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=1159, FN=0, Flags=.p....F."
"126","25.711669900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","41dBm","","","QoS Data, SN=1160, FN=0, Flags=.p....F."
"128","26.121138700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=1161, FN=0, Flags=.p....F."
"129","26.122778000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1162, FN=0, Flags=.p..R.F."
"130","26.122778000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1163, FN=0, Flags=.p..R.F."
"131","27.247813800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=1164, FN=0, Flags=.p....F."
"134","32.983111900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","39dBm","","","QoS Data, SN=1171, FN=0, Flags=.p....F."
"135","32.983111900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","39dBm","","","QoS Data, SN=1172, FN=0, Flags=.p....F."
