"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"152","37.999580500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","42dBm","","","QoS Data, SN=3434, FN=0, Flags=.p....F."
"154","38.824894700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=3435, FN=0, Flags=.p....F."
"156","39.612639300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=3436, FN=0, Flags=.p....F."
"158","42.710413400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","41dBm","","","QoS Data, SN=3437, FN=0, Flags=.p....F."
"161","46.908386000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=3438, FN=0, Flags=.p....F."
"162","46.909437300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=3439, FN=0, Flags=.p....F."
"163","46.909737400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","41dBm","","","QoS Data, SN=3440, FN=0, Flags=.p....F."
"164","46.910124600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","41dBm","","","QoS Data, SN=3441, FN=0, Flags=.p....F."
"165","46.910124600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1532","41dBm","","","QoS Data, SN=3442, FN=0, Flags=.p....F."
"169","47.522718700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","171","41dBm","","","QoS Data, SN=3443, FN=0, Flags=.p....F."
"170","51.311813400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","41dBm","","","QoS Data, SN=3444, FN=0, Flags=.p....F."
"172","51.784144300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=3445, FN=0, Flags=.p....F."
"176","52.154333600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","40dBm","","","QoS Data, SN=3446, FN=0, Flags=.p....F."
"177","52.154333600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","40dBm","","","QoS Data, SN=3447, FN=0, Flags=.p....F."
