"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.336540200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","29dBm","","","QoS Data, SN=3081, FN=0, Flags=.p..R.F."
"7","2.752690800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=3082, FN=0, Flags=.p....F."
"8","2.784571800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=3083, FN=0, Flags=.p..R.F."
"10","5.459420000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","28dBm","","","QoS Data, SN=3084, FN=0, Flags=.p....F."
"11","6.070216900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","29dBm","","","QoS Data, SN=3085, FN=0, Flags=.p....F."
"12","6.073284400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","29dBm","","","QoS Data, SN=3086, FN=0, Flags=.p....F."
"13","6.073284400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","29dBm","","","QoS Data, SN=3087, FN=0, Flags=.p....F."
"17","6.195770600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=3088, FN=0, Flags=.p..R.F."
"18","6.253947300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=3089, FN=0, Flags=.p..R.F."
"19","6.260767300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","300","29dBm","","","QoS Data, SN=3090, FN=0, Flags=.p....F."
"20","6.260767300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","29dBm","","","QoS Data, SN=3091, FN=0, Flags=.p....F."
"23","9.962392300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","196","28dBm","","","QoS Data, SN=3092, FN=0, Flags=.p..R.F."
"26","10.372423200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","30dBm","","","QoS Data, SN=3093, FN=0, Flags=.p..R.F."
"28","12.199577200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=3094, FN=0, Flags=.p..R.F."
"32","17.366785300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=3096, FN=0, Flags=.p....F."
"33","17.413435400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=3097, FN=0, Flags=.p....F."
"36","20.304416400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","422","29dBm","","","QoS Data, SN=3098, FN=0, Flags=.p....F."
"40","26.653425800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","28dBm","","","QoS Data, SN=3100, FN=0, Flags=.p....F."
"42","30.544617800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","30dBm","","","QoS Data, SN=3101, FN=0, Flags=.p....F."
"43","31.978198700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","28dBm","","","QoS Data, SN=3102, FN=0, Flags=.p....F."
"45","31.978963100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","28dBm","","","QoS Data, SN=3103, FN=0, Flags=.p....F."
"47","31.979543500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","28dBm","","","QoS Data, SN=3104, FN=0, Flags=.p..R.F."
"48","31.979543500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","28dBm","","","QoS Data, SN=3105, FN=0, Flags=.p..R.F."
"49","32.046590200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","28dBm","","","QoS Data, SN=3106, FN=0, Flags=.p....F."
"50","33.616633000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","28dBm","","","QoS Data, SN=3107, FN=0, Flags=.p....F."
"53","34.215640500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","30dBm","","","QoS Data, SN=3108, FN=0, Flags=.p....F."
"54","34.435483800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","29dBm","","","QoS Data, SN=3109, FN=0, Flags=.p....F."
"59","37.814743000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=3111, FN=0, Flags=.p....F."
"60","37.815749000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","226","30dBm","","","QoS Data, SN=3112, FN=0, Flags=.p....F."
"62","38.020138500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","226","29dBm","","","QoS Data, SN=3113, FN=0, Flags=.p....F."
"65","42.219015200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","170","30dBm","","","QoS Data, SN=3114, FN=0, Flags=.p....F."
"68","45.904686400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=3116, FN=0, Flags=.p....F."
"69","45.907810300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","29dBm","","","QoS Data, SN=3117, FN=0, Flags=.p....F."
"74","47.817882200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","28dBm","","","QoS Data, SN=3118, FN=0, Flags=.p....F."
"75","47.823859100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","28dBm","","","QoS Data, SN=3119, FN=0, Flags=.p....F."
"77","50.512507700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","29dBm","","","QoS Data, SN=3120, FN=0, Flags=.p....F."
"81","53.481967900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=3121, FN=0, Flags=.p....F."
"82","53.483588100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=3122, FN=0, Flags=.p..R.F."
"83","53.483588100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=3123, FN=0, Flags=.p..R.F."
"84","53.483588100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","29dBm","","","QoS Data, SN=3124, FN=0, Flags=.p..R.F."
"85","53.483988100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","29dBm","","","QoS Data, SN=3125, FN=0, Flags=.p..R.F."
"86","53.483988100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","29dBm","","","QoS Data, SN=3126, FN=0, Flags=.p..R.F."
"90","57.264642700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=3127, FN=0, Flags=.p..R.F."
"91","57.476704900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","30dBm","","","QoS Data, SN=3128, FN=0, Flags=.p..R.F."
"93","60.445167600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","386","29dBm","","","QoS Data, SN=3129, FN=0, Flags=.p....F."
"95","62.435408700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","28dBm","","","QoS Data, SN=3130, FN=0, Flags=.p....F."
"96","63.005198600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","158","28dBm","","","QoS Data, SN=3131, FN=0, Flags=.p....F."
"99","65.565956100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","28dBm","","","QoS Data, SN=3132, FN=0, Flags=.p..R.F."
"100","68.125531400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","203","30dBm","","","QoS Data, SN=3133, FN=0, Flags=.p....F."
"103","70.379342900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","29dBm","","","QoS Data, SN=3134, FN=0, Flags=.p..R.F."
"105","71.915174900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","29dBm","","","QoS Data, SN=3135, FN=0, Flags=.p..R.F."
