"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"5","0.405621800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","24dBm","","","QoS Data, SN=2067, FN=0, Flags=.p....F."
"6","0.406929700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","24dBm","","","QoS Data, SN=2068, FN=0, Flags=.p....F."
"9","2.429622800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","23dBm","","","QoS Data, SN=2069, FN=0, Flags=.p..R.F."
"11","4.911410300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","25dBm","","","QoS Data, SN=2070, FN=0, Flags=.p....F."
"13","7.173356800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","30dBm","","","QoS Data, SN=2071, FN=0, Flags=.p..R.F."
"17","7.671362300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=2072, FN=0, Flags=.p..R.F."
"18","7.674313700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2073, FN=0, Flags=.p..R.F."
"19","7.674313700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","31dBm","","","QoS Data, SN=2074, FN=0, Flags=.p..R.F."
"20","7.674313700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","31dBm","","","QoS Data, SN=2075, FN=0, Flags=.p..R.F."
"22","7.830806600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","345","29dBm","","","QoS Data, SN=2076, FN=0, Flags=.p..R.F."
"23","7.831799100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","377","29dBm","","","QoS Data, SN=2077, FN=0, Flags=.p..R.F."
"24","7.831799100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","259","29dBm","","","QoS Data, SN=2078, FN=0, Flags=.p..R.F."
"25","7.831799100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","29dBm","","","QoS Data, SN=2079, FN=0, Flags=.p..R.F."
"28","7.893196800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2080, FN=0, Flags=.p..R.F."
"32","9.248061300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","30dBm","","","QoS Data, SN=2081, FN=0, Flags=.p..R.F."
"37","11.772275400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","32dBm","","","QoS Data, SN=2083, FN=0, Flags=.p....F."
"39","12.182341300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","32dBm","","","QoS Data, SN=2084, FN=0, Flags=.p..R.F."
"43","12.565751200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=2085, FN=0, Flags=.p..R.F."
"44","12.581409700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","29dBm","","","QoS Data, SN=2086, FN=0, Flags=.p....F."
"45","12.581409700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","29dBm","","","QoS Data, SN=2087, FN=0, Flags=.p....F."
"47","12.657670600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","174","30dBm","","","QoS Data, SN=2088, FN=0, Flags=.p....F."
"48","12.657670600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","180","30dBm","","","QoS Data, SN=2089, FN=0, Flags=.p....F."
"49","12.657670600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","137","30dBm","","","QoS Data, SN=2090, FN=0, Flags=.p....F."
"51","12.657996500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","145","30dBm","","","QoS Data, SN=2091, FN=0, Flags=.p....F."
"54","12.683957000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","30dBm","","","QoS Data, SN=2092, FN=0, Flags=.p....F."
"55","13.206007100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","29dBm","","","QoS Data, SN=2093, FN=0, Flags=.p....F."
"60","14.433214400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","27dBm","","","QoS Data, SN=2094, FN=0, Flags=.p..R.F."
"63","14.494673500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","24dBm","","","QoS Data, SN=2095, FN=0, Flags=.p....F."
"64","14.505373000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","24dBm","","","QoS Data, SN=2096, FN=0, Flags=.p....F."
"65","14.529035400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","24dBm","","","QoS Data, SN=2097, FN=0, Flags=.p..R.F."
"66","15.254997300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","27dBm","","","QoS Data, SN=2098, FN=0, Flags=.p..R.F."
"70","22.219119000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","27dBm","","","QoS Data, SN=2100, FN=0, Flags=.p....F."
"71","22.219425700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","27dBm","","","QoS Data, SN=2101, FN=0, Flags=.p....F."
